group,municipality,compensation,endangered
native,brotas,15,2
native,buri,10,3
native,adamantina,15,2
native,buritama,15,2
native,adolfo,15,2
native,buritizal,15,2
native,aguai,15,2
native,cabralia_paulista,15,2
native,aguas_da_prata,10,3
native,cabreuva,10,3
native,aguas_de_lindoia,10,3
native,cacapava,15,2
native,aguas_de_santa_barbara,15,2
native,cachoeira_paulista,15,2
native,aguas_de_sao_pedro,15,2
native,caconde,10,3
native,agudos,10,3
native,cafelandia,15,2
native,alambari,10,3
native,caiabu,15,2
native,alfredo_marcondes,15,2
native,caieiras,10,3
native,altair,15,2
native,caiua,15,2
native,altinopolis,10,3
native,cajamar,10,3
native,alto_alegre,15,2
native,cajati,10,3
native,aluminio,10,3
native,cajobi,15,2
native,alvares_florence,15,2
native,cajuru,10,3
native,alvares_machado,15,2
native,campina_do_monte_alegre,10,3
native,alvaro_de_carvalho,10,3
native,campinas,15,2
native,alvinlandia,10,3
native,campo_limpo_paulista,10,3
native,americana,15,2
native,campos_do_jordao,10,3
native,americo_brasiliense,15,2
native,campos_novos_paulista,15,2
native,americo_de_campos,15,2
native,cananeia,10,3
native,amparo,10,3
native,canas,15,2
native,analandia,10,3
native,candido_mota,15,2
native,andradina,15,2
native,candido_rodrigues,15,2
native,angatuba,10,3
native,canitar,15,2
native,anhembi,10,3
native,capao_bonito,10,3
native,anhumas,15,2
native,capela_do_alto,10,3
native,aparecida,10,3
native,capivari,15,2
native,aparecida_doeste,15,2
native,caraguatatuba,10,3
native,apiai,10,3
native,carapicuiba,15,2
native,aracariguama,10,3
native,cardoso,15,2
native,aracatuba,15,2
native,casa_branca,15,2
native,aracoiaba_da_serra,10,3
native,cassia_dos_coqueiros,10,3
native,aramina,15,2
native,castilho,15,2
native,arandu,15,2
native,catanduva,15,2
native,arapei,10,3
native,catigua,15,2
native,araraquara,15,2
native,cedral,15,2
native,araras,15,2
native,cerqueira_cesar,15,2
native,arco_iris,15,2
native,cerquilho,15,2
native,arealva,15,2
native,cesario_lange,15,2
native,areias,10,3
native,charqueada,15,2
native,areiopolis,15,2
native,chavantes,15,2
native,ariranha,15,2
native,clementina,15,2
native,artur_nogueira,15,2
native,colina,15,2
native,aruja,10,3
native,colombia,15,2
native,aspasia,15,2
native,conchal,15,2
native,assis,15,2
native,conchas,15,2
native,atibaia,10,3
native,cordeiropolis,15,2
native,auriflama,15,2
native,coroados,15,2
native,avai,15,2
native,coronel_macedo,15,2
native,avanhandava,15,2
native,corumbatai,10,3
native,avare,15,2
native,cosmopolis,15,2
native,bady_bassitt,15,2
native,cosmorama,15,2
native,balbinos,15,2
native,cotia,10,3
native,balsamo,15,2
native,cravinhos,15,2
native,bananal,10,3
native,cristais_paulista,15,2
native,barao_de_antonina,15,2
native,cruzalia,25,1.2
native,barbosa,15,2
native,cruzeiro,10,3
native,bariri,15,2
native,cubatao,10,3
native,barra_bonita,15,2
native,cunha,10,3
native,barra_do_chapeu,10,3
native,descalvado,10,3
native,barra_do_turvo,10,3
native,diadema,15,2
native,barretos,15,2
native,dirce_reis,15,2
native,barrinha,15,2
native,divinolandia,10,3
native,barueri,15,2
native,dobrada,15,2
native,bastos,15,2
native,dois_corregos,15,2
native,batatais,15,2
native,dolcinopolis,15,2
native,bauru,15,2
native,dourado,10,3
native,bebedouro,15,2
native,dracena,15,2
native,bento_de_abreu,15,2
native,duartina,15,2
native,bernardino_de_campos,15,2
native,dumont,15,2
native,bertioga,10,3
native,echapora,10,3
native,bilac,15,2
native,eldorado,10,3
native,birigui,15,2
native,elias_fausto,15,2
native,biritiba_mirim,10,3
native,elisiario,15,2
native,boa_esperanca_do_sul,15,2
native,embauba,15,2
native,bocaina,10,3
native,embu_das_artes,10,3
native,bofete,10,3
native,embu_guacu,10,3
native,boituva,15,2
native,emilianopolis,15,2
native,bom_jesus_dos_perdoes,10,3
native,engenheiro_coelho,15,2
native,bom_sucesso_de_itarare,10,3
native,espirito_santo_do_pinhal,15,2
native,bora,15,2
native,espirito_santo_do_turvo,15,2
native,boraceia,15,2
native,estiva_gerbi,15,2
native,borborema,15,2
native,estrela_do_norte,15,2
native,borebi,15,2
native,estrela_doeste,15,2
native,botucatu,15,2
native,euclides_da_cunha_paulista,15,2
native,braganca_paulista,10,3
native,fartura,15,2
native,brauna,15,2
native,fernando_prestes,15,2
native,brejo_alegre,15,2
native,fernandopolis,15,2
native,brodowski,15,2
native,fernao,10,3
native,ferraz_de_vasconcelos,10,3
native,itu,10,3
native,flora_rica,15,2
native,itupeva,10,3
native,floreal,15,2
native,ituverava,15,2
native,florida_paulista,15,2
native,jaborandi,15,2
native,florinea,15,2
native,jaboticabal,15,2
native,franca,15,2
native,jacarei,15,2
native,francisco_morato,10,3
native,jaci,15,2
native,franco_da_rocha,10,3
native,jacupiranga,10,3
native,gabriel_monteiro,15,2
native,jaguariuna,15,2
native,galia,10,3
native,jales,15,2
native,garca,10,3
native,jambeiro,10,3
native,gastao_vidigal,15,2
native,jandira,15,2
native,gaviao_peixoto,15,2
native,jardinopolis,15,2
native,general_salgado,15,2
native,jarinu,10,3
native,getulina,15,2
native,jau,15,2
native,glicerio,15,2
native,jeriquara,15,2
native,guaicara,15,2
native,joanopolis,10,3
native,guaimbe,15,2
native,joao_ramalho,15,2
native,guaira,15,2
native,jose_bonifacio,15,2
native,guapiacu,15,2
native,julio_mesquita,15,2
native,guapiara,10,3
native,jumirim,15,2
native,guara,15,2
native,jundiai,10,3
native,guaracai,15,2
native,junqueiropolis,15,2
native,guaraci,15,2
native,juquia,10,3
native,guarani_doeste,15,2
native,juquitiba,10,3
native,guaranta,15,2
native,lagoinha,10,3
native,guararapes,15,2
native,laranjal_paulista,15,2
native,guararema,10,3
native,lavinia,15,2
native,guaratingueta,10,3
native,lavrinhas,10,3
native,guarei,10,3
native,leme,15,2
native,guariba,15,2
native,lencois_paulista,15,2
native,guaruja,10,3
native,limeira,15,2
native,guarulhos,10,3
native,lindoia,10,3
native,guatapara,15,2
native,lins,15,2
native,guzolandia,15,2
native,lorena,10,3
native,herculandia,15,2
native,lourdes,15,2
native,holambra,15,2
native,louveira,10,3
native,hortolandia,25,1.2
native,lucelia,15,2
native,iacanga,15,2
native,lucianopolis,15,2
native,iacri,15,2
native,luiz_antonio,10,3
native,iaras,15,2
native,luiziania,15,2
native,ibate,15,2
native,lupercio,10,3
native,ibira,15,2
native,lutecia,15,2
native,ibirarema,15,2
native,macatuba,15,2
native,ibitinga,15,2
native,macaubal,15,2
native,ibiuna,10,3
native,macedonia,15,2
native,icem,15,2
native,magda,15,2
native,iepe,15,2
native,mairinque,10,3
native,igaracu_do_tiete,15,2
native,mairipora,10,3
native,igarapava,15,2
native,manduri,15,2
native,igarata,10,3
native,maraba_paulista,15,2
native,iguape,10,3
native,maracai,15,2
native,ilha_comprida,10,3
native,marapoama,15,2
native,ilha_solteira,15,2
native,mariapolis,15,2
native,ilhabela,10,3
native,indaiatuba,15,2
native,marilia,10,3
native,indiana,15,2
native,martinopolis,15,2
native,indiapora,15,2
native,matao,15,2
native,inubia_paulista,15,2
native,maua,15,2
native,ipaussu,15,2
native,mendonca,15,2
native,ipero,10,3
native,meridiano,15,2
native,ipeuna,10,3
native,mesopolis,15,2
native,ipigua,15,2
native,miguelopolis,15,2
native,iporanga,10,3
native,mineiros_do_tiete,15,2
native,ipua,15,2
native,mira_estrela,15,2
native,iracemapolis,15,2
native,miracatu,10,3
native,irapua,15,2
native,mirandopolis,15,2
native,irapuru,15,2
native,mirante_do_paranapanema,15,2
native,itabera,10,3
native,mirassol,15,2
native,itai,15,2
native,mirassolandia,15,2
native,itajobi,15,2
native,mococa,15,2
native,itaju,15,2
native,mogi_das_cruzes,10,3
native,itanhaem,10,3
native,mogi_guacu,15,2
native,itaoca,10,3
native,mogi_mirim,15,2
native,itapecerica_da_serra,10,3
native,mombuca,15,2
native,itapetininga,10,3
native,moncoes,15,2
native,itapeva,10,3
native,mongagua,10,3
native,itapevi,10,3
native,monte_alegre_do_sul,10,3
native,itapira,15,2
native,monte_alto,15,2
native,itapirapua_paulista,10,3
native,monte_aprazivel,15,2
native,itapolis,15,2
native,monte_azul_paulista,15,2
native,itaporanga,15,2
native,monte_castelo,15,2
native,itapui,25,1.2
native,monte_mor,15,2
native,itapura,15,2
native,monteiro_lobato,10,3
native,itaquaquecetuba,15,2
native,morro_agudo,15,2
native,itarare,10,3
native,morungaba,10,3
native,itariri,10,3
native,motuca,15,2
native,itatiba,10,3
native,murutinga_do_sul,15,2
native,itatinga,15,2
native,nantes,15,2
native,itirapina,10,3
native,narandiba,15,2
native,itirapua,15,2
native,natividade_da_serra,10,3
native,itobi,15,2
native,nazare_paulista,10,3
native,neves_paulista,15,2
native,potirendaba,15,2
native,nhandeara,15,2
native,pracinha,15,2
native,nipoa,15,2
native,pradopolis,15,2
native,nova_alianca,15,2
native,praia_grande,10,3
native,nova_campina,10,3
native,pratania,15,2
native,nova_canaa_paulista,15,2
native,presidente_alves,10,3
native,nova_castilho,15,2
native,presidente_bernardes,15,2
native,nova_europa,15,2
native,presidente_epitacio,15,2
native,nova_granada,15,2
native,presidente_prudente,15,2
native,nova_guataporanga,25,1.2
native,presidente_venceslau,15,2
native,nova_independencia,15,2
native,promissao,15,2
native,nova_luzitania,15,2
native,quadra,15,2
native,nova_odessa,15,2
native,quata,15,2
native,novais,15,2
native,queiroz,15,2
native,novo_horizonte,15,2
native,queluz,10,3
native,nuporanga,15,2
native,quintana,15,2
native,ocaucu,10,3
native,rafard,15,2
native,oleo,15,2
native,rancharia,15,2
native,olimpia,15,2
native,redencao_da_serra,10,3
native,onda_verde,15,2
native,regente_feijo,15,2
native,oriente,10,3
native,reginopolis,15,2
native,orindiuva,15,2
native,registro,10,3
native,orlandia,15,2
native,restinga,15,2
native,osasco,15,2
native,ribeira,10,3
native,oscar_bressane,15,2
native,ribeirao_bonito,10,3
native,osvaldo_cruz,15,2
native,ribeirao_branco,10,3
native,ourinhos,15,2
native,ribeirao_corrente,15,2
native,ouro_verde,15,2
native,ribeirao_do_sul,15,2
native,ouroeste,15,2
native,ribeirao_dos_indios,15,2
native,pacaembu,15,2
native,ribeirao_grande,10,3
native,palestina,15,2
native,ribeirao_pires,10,3
native,palmares_paulista,15,2
native,ribeirao_preto,15,2
native,palmeira_doeste,15,2
native,rifaina,10,3
native,palmital,15,2
native,rincao,15,2
native,panorama,15,2
native,rinopolis,15,2
native,paraguacu_paulista,15,2
native,rio_claro,15,2
native,paraibuna,10,3
native,rio_das_pedras,15,2
native,paraiso,15,2
native,rio_grande_da_serra,10,3
native,paranapanema,15,2
native,riolandia,15,2
native,paranapua,15,2
native,riversul,10,3
native,parapua,15,2
native,rosana,15,2
native,pardinho,15,2
native,roseira,10,3
native,pariquera_acu,10,3
native,rubiacea,15,2
native,parisi,15,2
native,rubineia,15,2
native,patrocinio_paulista,10,3
native,sabino,15,2
native,pauliceia,15,2
native,sagres,15,2
native,paulinia,15,2
native,sales,15,2
native,paulistania,15,2
native,sales_oliveira,15,2
native,paulo_de_faria,15,2
native,salesopolis,10,3
native,pederneiras,15,2
native,salmourao,15,2
native,pedra_bela,10,3
native,saltinho,15,2
native,pedranopolis,15,2
native,salto,15,2
native,pedregulho,10,3
native,salto_de_pirapora,10,3
native,pedreira,10,3
native,salto_grande,15,2
native,pedrinhas_paulista,25,1.2
native,sandovalina,15,2
native,pedro_de_toledo,10,3
native,santa_adelia,15,2
native,penapolis,15,2
native,santa_albertina,15,2
native,pereira_barreto,15,2
native,santa_barbara_doeste,15,2
native,pereiras,15,2
native,santa_branca,10,3
native,peruibe,10,3
native,santa_clara_doeste,15,2
native,piacatu,15,2
native,santa_cruz_da_conceicao,15,2
native,piedade,10,3
native,santa_cruz_da_esperanca,10,3
native,pilar_do_sul,10,3
native,santa_cruz_das_palmeiras,15,2
native,pindamonhangaba,10,3
native,santa_cruz_do_rio_pardo,15,2
native,pindorama,15,2
native,santa_ernestina,15,2
native,pinhalzinho,10,3
native,santa_fe_do_sul,15,2
native,piquerobi,15,2
native,santa_gertrudes,15,2
native,piquete,10,3
native,santa_isabel,10,3
native,piracaia,10,3
native,santa_lucia,15,2
native,piracicaba,15,2
native,santa_maria_da_serra,15,2
native,piraju,15,2
native,santa_mercedes,15,2
native,pirajui,15,2
native,santa_rita_do_passa_quatro,10,3
native,pirangi,15,2
native,santa_rita_doeste,15,2
native,pirapora_do_bom_jesus,10,3
native,santa_rosa_de_viterbo,10,3
native,pirapozinho,15,2
native,santa_salete,15,2
native,pirassununga,15,2
native,santana_da_ponte_pensa,15,2
native,piratininga,10,3
native,santana_de_parnaiba,10,3
native,pitangueiras,15,2
native,santo_anastacio,15,2
native,planalto,15,2
native,santo_andre,10,3
native,platina,15,2
native,santo_antonio_da_alegria,10,3
native,poa,15,2
native,santo_antonio_de_posse,15,2
native,poloni,15,2
native,santo_antonio_do_aracangua,15,2
native,pompeia,15,2
native,santo_antonio_do_jardim,15,2
native,pongai,15,2
native,santo_antonio_do_pinhal,10,3
native,pontal,15,2
native,santo_expedito,15,2
native,pontalinda,15,2
native,santopolis_do_aguapei,15,2
native,pontes_gestal,15,2
native,santos,10,3
native,populina,15,2
native,sao_bento_do_sapucai,10,3
native,porangaba,15,2
native,sao_bernardo_do_campo,10,3
native,porto_feliz,15,2
native,sao_caetano_do_sul,25,1.2
native,porto_ferreira,15,2
native,sao_carlos,10,3
native,potim,15,2
native,sao_francisco,15,2
native,sao_joao_da_boa_vista,15,2
native,votorantim,10,3
native,sao_joao_das_duas_pontes,15,2
native,votuporanga,15,2
native,sao_joao_de_iracema,15,2
native,zacarias,15,2
native,sao_joao_do_pau_dalho,15,2
native,sao_joaquim_da_barra,15,2
native,sao_jose_da_bela_vista,15,2
native,sao_jose_do_barreiro,10,3
native,sao_jose_do_rio_pardo,10,3
native,sao_jose_do_rio_preto,15,2
native,sao_jose_dos_campos,10,3
native,sao_lourenco_da_serra,10,3
native,sao_luiz_do_paraitinga,10,3
native,sao_manuel,15,2
native,sao_miguel_arcanjo,10,3
native,sao_paulo,10,3
native,sao_pedro,10,3
native,sao_pedro_do_turvo,15,2
native,sao_roque,10,3
native,sao_sebastiao,10,3
native,sao_sebastiao_da_grama,10,3
native,sao_simao,15,2
native,sao_vicente,10,3
native,sarapui,10,3
native,sarutaia,15,2
native,sebastianopolis_do_sul,15,2
native,serra_azul,10,3
native,serra_negra,10,3
native,serrana,15,2
native,sertaozinho,15,2
native,sete_barras,10,3
native,severinia,15,2
native,silveiras,10,3
native,socorro,15,2
native,sorocaba,15,2
native,sud_mennucci,15,2
native,sumare,15,2
native,suzanapolis,15,2
native,suzano,10,3
native,tabapua,15,2
native,tabatinga,15,2
native,taboao_da_serra,15,2
native,taciba,15,2
native,taguai,15,2
native,taiacu,15,2
native,taiuva,15,2
native,tambau,10,3
native,tanabi,15,2
native,tapirai,10,3
native,tapiratiba,10,3
native,taquaral,25,1.2
native,taquaritinga,15,2
native,taquarituba,15,2
native,taquarivai,15,2
native,tarabai,15,2
native,taruma,15,2
native,tatui,15,2
native,taubate,10,3
native,tejupa,15,2
native,teodoro_sampaio,10,3
native,terra_roxa,15,2
native,tiete,15,2
native,timburi,10,3
native,torre_de_pedra,10,3
native,torrinha,15,2
native,trabiju,10,3
native,tremembe,10,3
native,tres_fronteiras,15,2
native,tuiuti,15,2
native,tupa,15,2
native,tupi_paulista,15,2
native,turiuba,15,2
native,turmalina,15,2
native,ubarana,15,2
native,ubatuba,10,3
native,ubirajara,15,2
native,uchoa,15,2
native,uniao_paulista,15,2
